name,id,salary_from,salary_to,experience,requirement,url
Python Middle+/Senior Developer (FastAPI),83530986,0,0,От 1 года до 3 лет,"Опыт работы с Python от 3х лет. Понимание DjangoORM и миграций. Опыт разработки API, работы с очередями и базами...",https://hh.ru/
Python developer (middle),82613352,0,0,От 3 до 6 лет,Опыт работы от 3 лет. Опыт работы с fastApi или другими async-фреймворками. Опыт работы с postgres. Опыт написания unit...,https://hh.ru/
Backend-разработчик на Python в офисе,83134113,75000,0,От 1 года до 3 лет,Хорошее владение языком программирования Python (синтаксис и стандартная библиотека). Понимание основных шаблонов проектирования приложений и шаблонов интеграции. Опыт разработки с...,https://hh.ru/
Разработчик Python(RuPost),43558725,0,0,От 1 года до 3 лет,"Отличное знание Python, Flask. Знание и опыт работы с HTTP/HTTPS. Опыт работы с JSON, XML. Для фокуса на web...",https://hh.ru/
Python Developer (Cars),84016023,0,0,От 3 до 6 лет,"Пишешь на Python больше 2-х лет. Работаешь с FastAPI, Django от 2-х лет. Знаешь SQL базово. ",https://hh.ru/
Python разработчик,83449672,0,0,От 1 года до 3 лет,Высшее техническое образование. Опыт работы с реляционными БД и знание языка SQL. Опыт программирования на Python от 2х лет. ,https://hh.ru/
Python Developer,82847795,0,0,От 1 года до 3 лет,"Python 3.6+. Flask. Знание реляционных БД: SQLite / PostgreSQL. Опыт работы с ORM SQLalchemy, миграции Alembic. Опыт работы с...",https://hh.ru/
Разработчик Python,84078070,150000,0,От 3 до 6 лет,"Знание технологий и языков программирования: Python, SQL, JavaScript (желательно, но можно освоить в процессе). Умение работать с системой контроля версий...",https://hh.ru/
Python developer,84159128,0,0,От 3 до 6 лет,Уверенные знания Python от 2х лет. Умение составлять сложные SQL-запросы. Навыки работы в Linux|Unix системах. ,https://hh.ru/
Разработчик Python (PostgreSQL),83226812,0,0,От 1 года до 3 лет,Обязательно. Опыт программирования Python. Понимание REST. Понимание процессов CI/CD. Знание и опыт SQL (желательно в PostgreSQL). Знание Linux на...,https://hh.ru/
Разработчик Python,84125839,0,0,От 3 до 6 лет,Опыт разработки на Pyhton (3.6+) для ОС семейства Linux от 2 лет. Знания Linux на уровне опытного пользователя. ,https://hh.ru/
Python разработчик,83290711,0,0,От 1 года до 3 лет,"Опыт коммерческой разработки на Python от 3 лет. Знание одного из веб-фреймворков: aiohttp; fastapi, tornado, понимание ORM. ",https://hh.ru/
"Помощник программиста на python/php и zero-code платформ (make, airtable, botmother)",83361549,50000,0,От 1 года до 3 лет,"Уметь эффективно гуглить и общаться с chatgpt, чтобы решить поставленную задачу. Умение работать с git будет плюсом.",https://hh.ru/
Python Developer,83839694,0,0,Более 6 лет,"5+ - ваш общий опыт в коммерческой разработке. 2+ опыта в руководстве/менторинге. Работали с Django 3+, Redis...",https://hh.ru/
Разработчик Python,84126302,0,0,От 3 до 6 лет,Опыт разработки на Pyhton (3.6+) для ОС семейства Linux от 2 лет. Знания Linux на уровне опытного пользователя. ,https://hh.ru/
"Аналитик SQL,Python",83136580,0,0,От 1 года до 3 лет,Владение методологией и знание процедуры (SQL) расчета показателей Качества Данных. Аудит процессов и данных в рамках заявленных бизнес-проблем (в...,https://hh.ru/
Программист Python,77005951,0,0,От 1 года до 3 лет,"Уверенное владение Python 3.8+, asyncio (async/await). Умение и желание писать качественный, читабельный, поддерживаемый и документированный код. ",https://hh.ru/
Python-разработчик,81723177,0,0,От 1 года до 3 лет,"Знание построения архитектуры ПО, паттернов и принципов написания и тестирования кода. Уверенные знания асинхронного python3 и основной экосистемы. ",https://hh.ru/
Разработчик Python,83703081,0,0,От 1 года до 3 лет,"Python 2/3 на хорошем уровне, C/C++/Java базовые знания или C/C++/Java на хорошем уровне Pyton 2...",https://hh.ru/
RPA разработчик на Python,84071086,0,0,От 3 до 6 лет,Хорошее знание Python. Опыт работы в роли разработчика ПО или разработчика автотестов на Python от 3 лет. Опыт написания Unit...,https://hh.ru/
Python developer,83786580,0,0,От 1 года до 3 лет,Опыт промышленной разработки от 1 года. Знание классических структур данных и алгоритмов. Опыт разработки клиент-серверных приложений. Знание основных паттернов...,https://hh.ru/
Python developer,83690808,0,0,От 1 года до 3 лет,"Понимание принципов ООП, паттернов/шаблонов проектирования. Опыт работы с любой реляционной СУБД. Знание механизмов межсервисного взаимодействия (HTTP, REST API, Брокеры...",https://hh.ru/
Python разработчик,82975815,0,0,От 1 года до 3 лет,Опыт разработки на Python. Python 3.10+. Базовое знание git. Понимание принципов асинхронного и параллельного выполнение кода. ,https://hh.ru/
Разработчик Python/ETL,83836011,0,0,От 1 года до 3 лет,Какие знания и навыки для нас важны: Опыт разработки приложений по работе с данными на Python от двух лет. ,https://hh.ru/
